,GSE000000
100130274,8.4034
100130276,7.9441
100130278,1.3279
100130285,8.9084
100130298,7.6563
100130302,8.1511
100130311,8.5146
100130314,2.7708
100130322,5.6501
100130331,1.3279
100130342,6.1761
100130345,8.5586
100130348,5.73905
100130354,1.3279
100130357,5.9625
100130370,1.3279
100130372,1.3279
100130373,5.3384
100130386,1.3279
100130417,3.4643
100130418,1.3279
100130419,4.7868
100130428,7.2111
100130429,5.1351
100130430,11.05875
100130433,6.5162
100130442,8.4996
100130449,4.9488
100130451,5.1416
100130452,1.3279
100130453,10.3256
100130456,10.9782
100130458,5.5114
100130463,7.4515
100130468,1.3279
100130476,8.215
100130480,2.9277
100130503,1.3279
100130507,1.3279
100130519,7.0365
100130522,7.75225
100130539,8.347
100130540,5.7276
100130542,3.8048
100130547,4.5504
100130548,1.3279
100130557,9.5351
100130560,8.5398
100130573,1.3279
100130579,6.4984
100130580,4.2688
100130581,3.5129
100130587,5.6647
100130589,1.3279
100130597,2.5258
100130613,5.361
100130627,1.3279
100130642,1.3279
100130654,11.5148
100130657,1.3279
100130673,7.5299
100130691,7.8503
100130700,6.1282
100130701,1.3279
100130705,4.7319
100130713,4.6909
100130717,6.4326
100130733,5.8601
100130741,5.0026
100130742,5.7934
100130744,3.2538
100130745,5.8655
100130761,4.6684
100130768,6.4742
100130771,4.18935
100130776,7.5343
100130778,1.3279
100130800,5.5341
100130811,8.8657
100130815,1.3279
100130817,1.3279
100130827,6.5353
100130849,1.3279
100130856,9.8402
100130857,3.8224
100130865,3.2972
100130872,6.4283
100130876,8.6772
100130880,1.3279
100130887,7.3526
100130889,6.0576
100130890,10.1598
100130894,3.8012
100130899,11.134
100130913,5.0236
100130916,7.1563
100130920,6.5649
100130921,1.3279
100130924,4.9568
100130927,5.5513
100130930,7.6914
100130931,3.0144
100130933,7.5273
100130938,6.4191
100130950,6.0781
100130954,4.87
100130958,5.7987
100130967,6.1946
100130987,6.0943
100130988,1.3279
100130992,3.6885
100131000,4.4655
100131015,6.5772
100131023,2.5852
100131032,3.0214
100131034,1.3279
100131043,6.9677
100131048,6.87055
100131053,2.9847
100131060,4.3247
100131066,1.3279
100131067,3.8652
100131068,1.3279
100131077,1.3279
100131089,6.2497
100131094,14.1709
100131096,6.4916
100131099,3.9877
100131101,4.4168
100131107,2.5321
100131129,1.3279
100131131,5.6448
100131137,1.3279
100131138,10.6411
100131150,8.2569
100131170,5.3598
100131174,2.9096
100131176,1.3279
100131180,4.3739
100131187,13.852
100131193,8.3418
100131195,6.0175
100131208,1.3279
100131211,6.4112
100131213,7.6719
100131227,2.7622
100131231,5.9091
100131232,1.3279
100131234,3.9952
100131242,6.0172
100131244,6.3234
100131257,7.6436
100131262,11.429
100131275,5.5403
100131283,3.7236
100131289,9.1978
100131298,3.188
100131346,3.4583
100131347,1.3279
100131354,5.2432
100131355,8.4478
100131366,7.4914
100131372,3.72035
100131378,4.3804
100131381,6.3332
100131390,6.9438
100131395,4.812
100131432,8.2251
100131434,5.7267
100131439,1.3279
100131454,4.336
100131490,7.1776
100131492,1.3279
100131496,1.3279
100131497,1.3279
100131510,4.3494
100131515,7.3307
100131532,1.3279
100131541,9.5285
100131551,7.60375
100131561,3.1417
100131564,11.6127
100131581,7.843
100131599,3.5497
100131607,9.5186
100131608,1.3279
100131635,1.3279
100131650,4.5705
100131654,1.3279
100131657,4.5435
100131662,1.3279
100131667,5.6457
100131691,3.5182
100131702,5.4394
100131719,1.3279
100131726,1.3279
100131733,10.0642
100131742,4.1037
100131755,8.0861
100131756,1.3279
100131763,1.3279
100131766,5.116
100131792,6.0123
100131796,4.7765
100131801,14.4668
100131814,3.1801
100131816,7.8684
100131820,4.8693
100131821,4.6349
100131822,2.9381
100131825,4.0091
100131826,4.3459
100131827,7.2572
100131829,9.2508
100131831,8.3991
100131840,1.3279
100131860,5.4776
100131864,6.1853
100131878,1.3279
100131894,3.7866
100131897,4.6746
100131902,3.3048
100131907,4.3402
100131910,5.2461
100131929,6.7428
100131943,1.3279
100131980,3.82025
100131997,9.6214
100132005,1.3279
100132006,9.1459
100132014,2.6029
100132057,8.537
100132069,1.3279
100132071,3.0004
100132077,8.2641
100132078,4.0942
100132099,4.7846
100132101,6.6612
100132111,3.7974
100132146,4.3557
100132147,7.2681
100132167,4.2938
100132183,4.3844
100132188,5.6006
100132197,6.5056
100132207,8.1658
100132215,1.3279
100132234,9.0609
100132240,1.3279
100132244,6.3347
100132247,16.4695
100132249,7.5661
100132273,7.9926
100132285,5.4952
100132292,3.5176
100132319,4.3453
100132336,1.3279
100132339,8.2052
100132341,9.1333
100132344,4.9621
100132352,11.5323
100132354,1.3279
100132356,7.0691
100132363,7.992
100132368,7.983
100132386,2.9744
100132396,2.61465
100132406,9.9147
100132463,7.2473
100132464,5.205
100132474,4.6265
100132476,6.6267
100132481,7.1239
100132495,6.4872
100132501,4.6926
100132526,1.3279
100132529,5.5305
100132565,6.8469
100132593,5.6084
100132596,1.3279
100132612,1.3279
100132686,4.7159
100132707,7.31005
100132708,7.38815
100132724,10.8139
100132731,5.4853
100132735,2.9082
100132741,8.4383
100132764,5.0038
100132774,6.087
100132781,1.3279
100132790,9.19455
100132800,1.3279
100132831,8.4178
100132832,7.5538
100132850,1.3279
100132859,6.2748
100132874,10.2375
100132891,2.20255
100132911,10.097
100132916,1.3279
100132923,8.0925
100132963,1.3279
100132966,10.6975
100132987,1.3279
100132994,8.602
100133036,3.73185
100133039,1.3279
100133050,8.36955
100133089,6.7557
100133091,9.304
100133106,1.3279
100133123,1.3279
100133130,6.33375
100133131,10.8447
100133144,10.366
100133145,3.7906
100133161,14.5023
100133171,1.3279
100133172,6.21935
100133190,6.1704
100133204,4.2872
100133205,4.3986
100133234,9.8642
100133286,8.6169
100133299,10.14
100133306,6.775
100133308,3.7741
100133311,5.6886
100133315,6.18805
100133319,6.4499
100133331,8.87015
100133461,1.3279
100133545,7.3552
100133612,5.8452
100133669,6.5574
100133790,4.954
100133791,6.1206
100133857,5.4652
100133920,5.1798
100133941,17.7939
100133957,1.3279
100133985,9.0972
100133991,6.118
100134040,4.72775
100134167,6.9048
100134229,9.1871
100134237,9.1134
100134240,8.3481
100134256,4.2595
100134259,4.387
100134285,5.1644
100134365,7.1824
100134368,1.3279
100134409,4.2121
100134423,3.7816
100134663,12.6743
100134713,9.5141
100134868,13.695
100134869,8.3521
100134934,11.185
100134937,7.5485
100137047,8.4128
10014,9.0973
100141515,6.6904
100144596,6.0933
100144597,1.3279
100144602,1.3279
100144603,7.77045
100144604,12.0992
100144748,7.1685
100147773,5.8329
10015,10.8011
100151643,1.3279
100151683,5.9867
100158262,9.1636
10016,15.2648
100169750,9.7017
100169752,2.6334
100169851,8.8188
100169890,4.1473
100169951,18.8825
100169989,11.8788
10017,6.834
100170219,7.8081
100170220,6.9167
100170224,1.3279
100170226,5.3222
100170765,7.5366
100170841,10.0889
100170939,12.2988
10018,9.939
100188893,13.8791
100188947,8.7796
100188949,6.7418
100188953,6.37705
100188954,4.1912
100189589,1.3279
10019,9.1508
100190938,1.3279
100190939,11.1635
100190940,7.6054
100190949,6.2345
100190986,11.1484
100191039,6.3225
100191040,6.8347
100192378,3.1433
100192379,1.3279
100192386,1.3279
100192420,1.3279
100192426,1.3279
1002,1.3279
10020,14.59
10021,1.3279
100216001,1.3279
100216545,11.0054
100216546,10.595
10022,6.7676
10023,6.62025
100233156,9.12155
100233209,13.5991
10024,10.56445
100240734,6.6909
100240735,9.2398
10025,8.9394
10026,9.5473
100268168,4.1507
100270679,7.3021
100270680,1.3279
100270710,4.2926
100270746,9.5498
100270804,7.0625
100271715,1.3279
100271722,1.3279
100271835,1.3279
100271836,3.0824
100271846,1.3279
100271849,9.6713
100272147,11.6674
100272148,1.3279
100272216,6.8106
100286979,6.8588
100287171,11.7649
100287195,15.8993
100287221,1.3279
100287225,1.3279
100287226,6.9991
100287284,2.2843
100287314,10.7346
100287326,3.8136
100287428,4.5238
100287477,1.3279
100287569,7.0398
100287704,1.3279
100287792,1.3279
100287879,7.4271
100287898,3.19255
100287932,11.86885
100287948,1.3279
100288018,1.3279
100288069,9.835
100288254,1.3279
100288287,1.3279
100288292,9.6314
100288428,3.3273
100288524,6.7155
100288568,1.3279
100288615,12.2009
100288695,5.8244
100288797,4.9507
100288801,4.01375
100288805,4.4651
100288884,3.6979
100288911,9.3372
100289017,4.3862
100289079,7.709
100289090,6.9714
100289094,6.8373
100289178,5.97905
100289186,9.3009
100289200,1.3279
100289255,7.1269
100289333,6.6286
100289341,7.0356
100289388,16.081
100289410,11.0412
100289509,3.8597
100289580,6.6895
100289635,10.7436
100289650,7.5306
100289678,7.39485
100289683,5.1612
100291323,7.2008
100292409,7.8717
100292680,3.4392
100292905,9.49405
100293516,6.931
1003,7.6214
100302736,10.15155
100306975,7.183
100329135,1.3279
100335030,6.5227
100337616,1.3279
10036,8.86015
100379220,4.3006
100379661,1.3279
10038,11.034
10039,7.4873
1004,3.36865
10040,11.194
10042,10.4115
100423062,16.7211
10043,12.6007
10044,9.5899
10045,12.8608
10046,4.62265
10047,1.3279
10048,9.52445
10049,11.679
100499183,2.2976
100499221,6.6714
100499483,6.9935
100499484,5.6283
1005,5.5889
10050,6.2219
100500938,4.9853
100505385,6.7246
100505488,1.3279
100505501,5.7789
100505564,3.9149
100505585,7.1919
100505591,8.5618
100505635,1.3279
100505648,10.0311
100505679,3.9677
100505683,5.5334
100505695,6.8948
100505719,7.8492
100505724,5.64005
100505753,3.3906
100505806,13.309
100505841,1.3279
100505870,3.4843
100505873,4.5923
100505876,8.1254
100505880,8.823
100505890,3.9335
100505929,4.6894
100505933,7.9495
100506036,6.1336
100506049,5.8716
100506084,9.731
